                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.84914,                0.68694,                  0.982,                0.93238,                0.93915,                0.96191,                0.69006,                 1.0167,                0.61845,                 1.0641,              0.0001461,              0.0001461,              0.0001461
                     88,                0.85699,                 0.6884,                0.99038,                0.94014,                0.93423,                0.96042,                0.68772,                 1.0172,                  0.604,                 1.0624,             0.00014543,             0.00014543,             0.00014543
                     89,                0.84798,                0.67322,                0.98621,                0.93691,                0.93822,                0.96552,                0.68982,                 1.0193,                0.61008,                 1.0614,             0.00014476,             0.00014476,             0.00014476
                     90,                0.85225,                0.67527,                0.97923,                0.93934,                0.92179,                0.96205,                0.68748,                 1.0195,                0.61005,                 1.0653,             0.00014409,             0.00014409,             0.00014409
                     91,                0.85311,                0.67803,                0.98653,                 0.9381,                0.93818,                0.96344,                 0.6873,                  1.022,                0.60464,                 1.0681,             0.00014341,             0.00014341,             0.00014341
                     92,                0.85666,                0.67561,                0.97663,                0.93628,                0.92328,                0.96072,                0.69124,                 1.0081,                0.60813,                 1.0613,             0.00014274,             0.00014274,             0.00014274
                     93,                0.84459,                0.67023,                0.98441,                0.94532,                0.92974,                0.96421,                0.69214,                 1.0122,                0.60454,                 1.0629,             0.00014207,             0.00014207,             0.00014207
                     94,                0.85405,                0.67695,                 0.9872,                0.94482,                0.92656,                0.96367,                0.68389,                  1.023,                0.60986,                 1.0709,             0.00014139,             0.00014139,             0.00014139
                     95,                0.84662,                0.66907,                0.98325,                0.94101,                0.93565,                0.95976,                0.68139,                 1.0368,                0.60945,                 1.0755,             0.00014072,             0.00014072,             0.00014072
                     96,                 0.8468,                0.66636,                0.98157,                0.93979,                0.93179,                0.96209,                0.68586,                 1.0237,                0.60277,                 1.0699,             0.00014005,             0.00014005,             0.00014005
                     97,                0.84784,                 0.6631,                0.98332,                0.93684,                0.93677,                0.96324,                0.68994,                 1.0204,                0.60371,                 1.0648,             0.00013937,             0.00013937,             0.00013937
                     98,                0.82894,                0.65519,                0.97789,                0.94034,                 0.9357,                0.96499,                0.69156,                 1.0195,                0.59466,                 1.0714,              0.0001387,              0.0001387,              0.0001387
                     99,                0.83409,                0.65304,                0.98004,                0.93289,                0.93734,                0.96467,                0.68425,                 1.0246,                0.60072,                 1.0729,             0.00013803,             0.00013803,             0.00013803
                    100,                0.83799,                0.65818,                0.97738,                0.93374,                0.92976,                0.96134,                0.68318,                 1.0279,                 0.6056,                  1.072,             0.00013735,             0.00013735,             0.00013735
                    101,                0.85284,                0.67207,                0.98207,                0.93205,                0.93668,                0.96507,                0.68962,                 1.0169,                0.59795,                 1.0721,             0.00013668,             0.00013668,             0.00013668
                    102,                0.84401,                0.65408,                0.97971,                0.93706,                0.93426,                0.96459,                0.68679,                 1.0208,                 0.5971,                 1.0699,             0.00013601,             0.00013601,             0.00013601
                    103,                0.83434,                0.64431,                0.97705,                0.94261,                0.93394,                0.96398,                0.68506,                 1.0333,                0.59244,                 1.0721,             0.00013533,             0.00013533,             0.00013533
                    104,                0.83426,                0.64383,                0.97589,                0.93931,                0.93495,                0.96373,                0.69071,                 1.0259,                0.59818,                 1.0665,             0.00013466,             0.00013466,             0.00013466
                    105,                0.82952,                0.64887,                0.97388,                0.94138,                0.93408,                0.96525,                0.69064,                 1.0159,                0.59342,                 1.0676,             0.00013399,             0.00013399,             0.00013399
                    106,                0.84026,                 0.6466,                0.97825,                0.94226,                 0.9391,                0.96607,                0.68667,                 1.0255,                0.58955,                 1.0727,             0.00013331,             0.00013331,             0.00013331
                    107,                0.83467,                0.65113,                0.97484,                0.93786,                0.93693,                0.96326,                 0.6893,                 1.0174,                0.58905,                 1.0647,             0.00013264,             0.00013264,             0.00013264
                    108,                0.81913,                0.63097,                0.97519,                0.94419,                0.92684,                 0.9651,                0.68744,                  1.021,                0.58982,                 1.0716,             0.00013197,             0.00013197,             0.00013197
                    109,                0.82967,                0.64147,                0.97865,                0.94037,                0.93137,                 0.9635,                0.68898,                 1.0236,                 0.5929,                 1.0708,             0.00013129,             0.00013129,             0.00013129
                    110,                0.83628,                0.65122,                0.97988,                0.93336,                0.94397,                0.96573,                0.68908,                 1.0201,                0.58727,                 1.0699,             0.00013062,             0.00013062,             0.00013062
                    111,                0.83417,                0.64282,                0.97992,                0.94122,                0.93833,                0.96711,                0.69204,                 1.0195,                0.58456,                 1.0673,             0.00012995,             0.00012995,             0.00012995
                    112,                0.81804,                0.62682,                0.97124,                0.92666,                 0.9454,                0.96348,                0.68663,                 1.0344,                0.58676,                 1.0771,             0.00012927,             0.00012927,             0.00012927
                    113,                0.83132,                0.63672,                0.97998,                0.94063,                0.93678,                0.96116,                0.69075,                 1.0219,                0.58695,                 1.0694,              0.0001286,              0.0001286,              0.0001286
                    114,                0.82457,                0.63256,                0.97813,                0.94459,                0.93242,                0.96343,                 0.6921,                 1.0147,                0.58895,                  1.065,             0.00012793,             0.00012793,             0.00012793
                    115,                0.81611,                0.62767,                0.96671,                0.93507,                0.94313,                0.96489,                 0.6886,                 1.0266,                0.58621,                 1.0733,             0.00012726,             0.00012726,             0.00012726
                    116,                0.82148,                0.62994,                0.97018,                0.94321,                0.93035,                0.96369,                0.68798,                 1.0224,                0.59016,                 1.0781,             0.00012658,             0.00012658,             0.00012658
                    117,                0.81772,                0.62964,                0.96854,                 0.9374,                0.94038,                0.96407,                0.68744,                 1.0204,                0.58452,                 1.0746,             0.00012591,             0.00012591,             0.00012591
                    118,                0.82103,                0.62733,                0.97282,                0.94298,                0.94332,                0.96695,                0.68884,                 1.0256,                 0.5723,                 1.0722,             0.00012524,             0.00012524,             0.00012524
                    119,                0.82384,                0.62358,                0.96671,                0.94529,                0.93255,                0.96334,                 0.6862,                 1.0341,                0.58569,                 1.0751,             0.00012456,             0.00012456,             0.00012456
                    120,                0.81339,                0.62207,                0.96916,                0.93674,                0.94238,                0.96622,                0.69484,                 1.0142,                 0.5768,                 1.0692,             0.00012389,             0.00012389,             0.00012389
                    121,                0.82733,                0.63341,                0.97589,                 0.9402,                0.93303,                0.96441,                0.68922,                 1.0242,                0.58908,                 1.0735,             0.00012322,             0.00012322,             0.00012322
                    122,                   0.82,                0.62654,                0.96776,                 0.9377,                0.94614,                0.96356,                0.68734,                 1.0413,                0.58266,                 1.0804,             0.00012254,             0.00012254,             0.00012254
                    123,                0.82305,                0.63043,                0.97095,                0.94611,                0.93051,                0.96557,                0.69147,                 1.0261,                0.57765,                 1.0726,             0.00012187,             0.00012187,             0.00012187
                    124,                0.81414,                0.62313,                 0.9684,                0.94501,                 0.9353,                0.96595,                0.68904,                 1.0305,                0.58553,                 1.0785,              0.0001212,              0.0001212,              0.0001212
                    125,                0.81295,                0.61467,                0.97129,                0.93161,                0.94708,                0.96387,                 0.6866,                  1.031,                0.58363,                 1.0814,             0.00012052,             0.00012052,             0.00012052
                    126,                0.81445,                0.62001,                0.96809,                0.93927,                0.93993,                0.96308,                 0.6891,                 1.0259,                0.58404,                 1.0751,             0.00011985,             0.00011985,             0.00011985
                    127,                0.80502,                0.61048,                0.96562,                0.94985,                0.93165,                0.96471,                0.68807,                 1.0321,                0.57741,                 1.0805,             0.00011918,             0.00011918,             0.00011918
                    128,                0.81554,                0.61849,                0.96166,                0.92847,                  0.945,                0.96356,                0.68965,                  1.024,                0.57659,                 1.0705,              0.0001185,              0.0001185,              0.0001185
                    129,                0.81014,                0.60701,                0.96148,                0.94371,                0.93807,                0.96555,                0.69264,                 1.0227,                0.57583,                 1.0711,             0.00011783,             0.00011783,             0.00011783
                    130,                0.81576,                0.61265,                0.96376,                0.93611,                0.94144,                0.96299,                0.68635,                 1.0283,                0.57759,                 1.0728,             0.00011716,             0.00011716,             0.00011716
