                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.1099,                 1.0772,                 1.0665,                0.88601,                0.86097,                 0.9098,                0.63926,                 1.0678,                0.80749,                 1.0517,             0.00015149,             0.00015149,             0.00015149
                     93,                 1.1052,                 1.0881,                 1.0768,                0.87866,                0.86272,                0.90666,                0.63947,                 1.0787,                0.80507,                 1.0504,             0.00015091,             0.00015091,             0.00015091
                     94,                 1.0899,                 1.0603,                 1.0613,                0.89127,                0.85096,                0.91053,                0.63773,                 1.0828,                0.79491,                 1.0538,             0.00015034,             0.00015034,             0.00015034
                     95,                 1.1255,                 1.0957,                 1.0783,                0.87856,                0.86297,                0.91097,                0.64066,                 1.0764,                0.80145,                  1.051,             0.00014976,             0.00014976,             0.00014976
                     96,                 1.1064,                 1.0855,                 1.0678,                0.89726,                0.84285,                 0.9091,                0.64115,                 1.0784,                0.80188,                 1.0555,             0.00014918,             0.00014918,             0.00014918
                     97,                 1.1167,                  1.085,                 1.0771,                0.88542,                0.84928,                 0.9116,                0.64073,                 1.0787,                0.80456,                 1.0516,             0.00014861,             0.00014861,             0.00014861
                     98,                 1.1018,                 1.0771,                 1.0729,                0.87461,                0.86748,                0.91026,                0.64132,                 1.0744,                0.79615,                 1.0559,             0.00014803,             0.00014803,             0.00014803
                     99,                 1.0996,                 1.0742,                 1.0702,                 0.8771,                 0.8642,                0.90917,                0.64025,                 1.0768,                0.80357,                 1.0549,             0.00014745,             0.00014745,             0.00014745
                    100,                 1.0978,                 1.0717,                 1.0704,                0.88243,                0.86691,                0.91412,                0.64608,                  1.068,                0.78766,                  1.044,             0.00014687,             0.00014687,             0.00014687
                    101,                 1.1054,                 1.0836,                 1.0713,                0.88776,                0.86063,                0.91265,                0.64208,                 1.0765,                0.78614,                 1.0487,              0.0001463,              0.0001463,              0.0001463
                    102,                 1.1084,                 1.0715,                 1.0748,                 0.8789,                0.87935,                0.91659,                0.64235,                 1.0773,                0.78536,                 1.0468,             0.00014572,             0.00014572,             0.00014572
